Date : 2021-10-19 13:59:23
Directory : /home/doug/C-Game
Total : 182 files,  30639 codes, 12593 comments, 4806 blanks, all 48038 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/doug/C-Game/src/engine/vendor/cglm/struct/vec3-ext.h                               | C++          |        104 |        131 |         23 |        258 |
| /home/doug/C-Game/src/engine/vendor/cglm/struct/vec3.h                                   | C++          |        379 |        526 |         66 |        971 |
| /home/doug/C-Game/src/engine/vendor/cglm/struct/vec4-ext.h                               | C++          |        104 |        131 |         23 |        258 |
| /home/doug/C-Game/src/engine/vendor/cglm/struct/vec4.h                                   | C++          |        322 |        437 |         56 |        815 |
| /home/doug/C-Game/src/engine/vendor/cglm/types-struct.h                                  | C++          |        103 |         24 |         14 |        141 |
| /home/doug/C-Game/src/engine/vendor/cglm/types.h                                         | C++          |         68 |         12 |         13 |         93 |
| /home/doug/C-Game/src/engine/vendor/cglm/util.h                                          | C++          |        128 |        186 |         30 |        344 |
| /home/doug/C-Game/src/engine/vendor/cglm/vec2-ext.h                                      | C++          |         74 |         98 |         18 |        190 |
| /home/doug/C-Game/src/engine/vendor/cglm/vec2.h                                          | C++          |        228 |        305 |         53 |        586 |
| /home/doug/C-Game/src/engine/vendor/cglm/vec3-ext.h                                      | C++          |        116 |        130 |         27 |        273 |
| /home/doug/C-Game/src/engine/vendor/cglm/vec3.h                                          | C++          |        439 |        549 |         95 |      1,083 |
| /home/doug/C-Game/src/engine/vendor/cglm/vec4-ext.h                                      | C++          |        154 |        130 |         30 |        314 |
| /home/doug/C-Game/src/engine/vendor/cglm/vec4.h                                          | C++          |        556 |        441 |         70 |      1,067 |
| /home/doug/C-Game/src/engine/vendor/cglm/version.h                                       | C++          |          6 |          6 |          4 |         16 |
| /home/doug/C-Game/src/engine/vendor/glad.c                                               | C            |      1,762 |         25 |         47 |      1,834 |
| /home/doug/C-Game/src/engine/vendor/stb_image.h                                          | C++          |      5,882 |      1,268 |        857 |      8,007 |
| /home/doug/C-Game/src/game/main.c                                                        | C            |         37 |          0 |          9 |         46 |
| /home/doug/C-Game/src/game/scenes/testScene.c                                            | C            |        314 |         31 |         47 |        392 |
| /home/doug/C-Game/src/game/scenes/testScene.h                                            | C++          |          2 |          0 |          1 |          3 |
| Total                                                                                    |              |     30,639 |     12,593 |      4,806 |     48,038 |
+------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
